label	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	44	55	63	69	104	95	108	7	102	157	61	118	80	57	95	92	91	22
ABCD3	105	140	67	153	119	59	210	51	162	106	71	66	82	83	78	53	80	44
ABCD4	133	130	79	196	88	96	364	145	254	381	209	178	120	250	227	293	245	206
ABCE1	176	175	111	209	121	120	401	128	250	125	99	93	201	132	131	217	127	53
ABCF1	160	152	143	210	125	90	449	124	189	265	157	146	153	238	152	110	151	143
ABCF2	117	113	82	129	45	59	343	101	158	161	131	105	52	132	155	125	121	106
ABCF2P1	0	0	3	1	0	0	0	0	0	0	0	0	0	10	0	1	0	0
ABCF2P2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	61	122	42	123	65	76	121	97	102	111	81	63	65	59	123	87	65	64
ABCG1	50	64	38	45	26	33	328	46	81	81	119	109	215	187	48	18	80	99
ABCG2	13	0	13	1	3	9	7	3	1	0	1	0	1	1	0	6	1	2
ABCG4	0	0	2	0	2	5	0	0	0	0	0	0	3	9	0	0	0	0
ABCG5	2	2	4	2	3	0	0	0	0	0	0	2	0	12	0	5	0	1
ABCG8	5	1	4	3	5	4	4	0	1	0	0	0	0	2	7	0	0	0
ABHD1	7	2	13	3	1	19	5	4	0	3	14	6	2	8	2	10	6	0
ABHD10	236	190	74	247	80	109	337	62	149	65	67	73	62	91	108	167	68	43
ABHD11	2	16	14	18	3	18	28	15	40	42	16	16	17	18	4	28	17	34
ABHD11-AS1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
ABHD12	25	14	22	15	15	12	49	19	20	51	27	17	92	37	27	30	19	23
ABHD12B	2	0	3	3	0	4	0	0	0	0	0	0	3	11	1	0	5	0
ABHD13	58	70	67	66	19	76	192	45	84	141	121	67	136	165	68	55	42	26
ABHD14A	15	20	7	20	22	6	61	12	25	31	35	15	25	66	32	29	16	26
ABHD14A-ACY1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	1	0	0
ABHD14B	101	99	59	144	76	65	340	67	188	114	182	93	106	254	188	269	114	202
ABHD15	11	21	27	18	14	17	27	16	9	32	65	41	42	29	61	29	26	50
ABHD15-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	18	19	13	25	7	19	56	19	29	27	8	16	17	15	3	21	22	18
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	10	12	14	20	2	21	15	7	25	4	50	15	20	27	37	10	43	45
ABHD17AP1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ABHD17AP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	45	30	14	20	13	36	38	32	32	34	51	27	49	37	21	20	9	5
ABHD17C	5	0	5	4	13	2	0	2	0	0	2	2	0	2	0	0	9	3
ABHD18	151	128	96	131	76	122	244	110	116	196	112	44	96	155	119	201	87	95
ABHD2	230	291	135	288	83	101	143	103	178	182	91	48	29	79	122	133	92	109
ABHD3	450	233	216	532	259	296	574	194	376	322	315	229	185	330	260	387	325	325
ABHD4	97	40	17	48	12	15	185	2	61	99	32	21	43	61	16	87	25	8
ABHD5	112	73	71	89	99	76	185	103	97	94	56	36	50	69	149	127	113	1
ABHD6	7	9	4	3	8	16	45	4	2	1	0	6	12	15	3	17	15	15
ABHD8	0	0	0	1	1	0	3	0	0	5	0	0	2	7	0	1	0	2
ABI1	557	425	346	777	293	417	1090	466	577	534	500	253	257	364	512	569	420	351
ABI1P1	1	0	0	4	0	2	1	0	0	3	0	0	2	11	0	0	0	0
ABI2	219	287	180	179	118	154	511	230	253	271	139	93	115	150	106	286	97	81
ABI3	74	153	99	234	40	125	215	75	250	118	293	119	148	245	101	122	73	125
ABI3BP	5	2	17	11	49	30	4	0	9	7	7	3	15	11	9	8	3	15
ABL1	23	42	24	12	21	31	135	40	49	115	38	35	54	59	65	60	18	11
ABL2	44	15	13	47	57	37	93	40	118	35	57	27	17	29	48	131	68	35
ABLIM1	121	27	106	381	234	239	181	111	364	331	391	227	281	377	255	800	798	471
ABLIM2	3	2	2	6	5	6	4	0	2	4	13	0	0	3	0	0	2	1
ABLIM3	2	3	5	0	0	4	24	2	1	3	0	4	0	10	0	0	0	13
ABO	0	0	0	3	5	3	0	2	1	0	15	3	0	0	0	0	0	0
ABR	128	160	75	206	88	116	323	131	169	221	187	86	94	190	144	183	95	168
ABRA	0	0	10	6	2	2	0	0	3	8	0	0	0	0	27	0	4	0
ABRACL	396	350	340	520	166	289	329	94	200	151	245	103	112	188	183	134	63	204
ABRAXAS1	29	27	16	44	20	15	26	33	13	48	23	13	17	11	23	74	28	40
ABRAXAS2	93	76	58	80	17	84	68	22	40	64	107	43	33	76	62	35	114	157
ABT1	142	163	91	232	74	124	160	97	100	112	87	57	45	62	138	91	66	69
ABT1P1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABTB1	67	79	52	187	73	94	125	84	63	40	104	69	92	118	102	115	65	68
ABTB2	28	38	21	15	1	2	123	64	129	134	32	38	17	15	53	2	0	1
